"학교명",학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자
"가천대학교 환경디자인대학원",Graduate School Of  Environment & Design Gachon University,본교,대학원,특수대학원,사립,41,경기도,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",,13120,,www.gachon.ac.kr,031-750-5482,031-750-5483,1939-05-09,2022,2022-12-21
"가톨릭관동대학교 경영행정사회복지대학원","Graduate School Of Business, Public Administration And Social Welfare Catholic Kwandong University",본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,1990-03-01,2022,2022-12-21
"가톨릭관동대학교 경영행정창업대학원","Graduate School Of Business, Public Administration Start up Catholic Kwandong University",본교,대학원,특수대학원,사립,42,강원도,강원도 강릉시 범일로579번길 24 (내곡동),,25601,,www.cku.ac.kr,033-649-7172,033-649-7164,2021-03-01,2022,2022-12-21
"가톨릭관동대학교 경영행정대학원","Graduate School Of Business, Public Administration Catholic Kwandong University",본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,2017-03-01,2022,2022-12-21
"가톨릭관동대학교 교육대학원",Graduate School Of Education Catholic Kwandong University,본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,1988-03-01,2022,2022-12-21
"가톨릭관동대학교 보건의료융합대학원",Graduate School Of Healthcare Convergence Catholic Kwandong University,본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,,033-649-7114,033-649-7874,2018-07-27,2022,2022-12-21
"가톨릭관동대학교 사회복지대학원",Graduate School Of Social Welfare Catholic Kwandong University,본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,2017-03-01,2022,2022-12-21
"가톨릭관동대학교 선교신학대학원",Graduate School Of Mission And Theology Catholic Kwandong University,본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,2003-03-01,2022,2022-12-21
"가톨릭관동대학교 에너지자원융합대학원",Graduate School Of Energy Resources And Convergence Technology Catholic Kwandong University,본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,2013-03-01,2022,2022-12-21
"가톨릭관동대학교 의료경영대학원",Graduate School Of Healthcare  Management Catholic Kwandong University,본교,대학원,특수대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,2017-03-01,2022,2022-12-21
"가톨릭관동대학교 일반대학원",Graduate School Catholic Kwandong University,본교,대학원,일반대학원,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,1989-03-01,2022,2022-12-21
"가톨릭꽃동네대학교 사회복지대학원",Kkottongnae University Graduate School Of Social Welfare,본교,대학원,특수대학원,사립,43,충청북도,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",,28211,,gradu.kkot.ac.kr,043-270-0131,043-270-0122,2002-10-30,2022,2022-12-21
"가톨릭꽃동네대학교 사회복지상담대학원",Kkottongnae University Graduate School Social Welfare And Counseling Psycology,본교,대학원,특수대학원,사립,43,충청북도,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",,28211,,gradu.kkot.ac.kr,043-270-0131,043-270-0165,2002-10-03,2022,2022-12-21
"가톨릭대학교 경영대학원",The Graduateschool Of Businessadministration The Catholic University Of Korea,본교,대학원,특수대학원,사립,41,경기도,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7731,02-2258-7800,2003-03-01,2022,2022-12-21
"가톨릭대학교 교육대학원",The Graduate School Of Education The Catholic University Of Korea,본교,대학원,특수대학원,사립,41,경기도,경기도 부천시 원미구 지봉로 43,,14662,,www.catholic.ac.kr,02-2164-4176,02-2164-4977,1997-11-01,2022,2022-12-21
"가톨릭대학교 교회법대학원",Graduate School Of Canon Law The Catholic University Of Korea,본교,대학원,특수대학원,사립,41,경기도,"경기도 부천시 지봉로 43 (역곡동, 가톨릭대학교성심교정)",,14662,,www.catholic.ac.kr,02-2164-4114,02-2164-4111,2017-03-02,2022,2022-12-21
"가톨릭대학교 교회음악대학원","Graduate School Of Church Music, The Catholic University Of Korea",제3캠퍼스,대학원,특수대학원,사립,11,서울특별시,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",,03083,,www.catholic.ac.kr,02-393-2214,02-364-1295,2003-03-01,2022,2022-12-21
"가톨릭대학교 글로벌융합대학원","Graduate School Of Kmp(Korean Wave, Management, Policy)",본교,대학원,특수대학원,사립,41,경기도,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7766,02-2258-7731,2015-03-01,2022,2022-12-21
"가톨릭대학교 글로벌지식경영대학원",The Graduate school of Global knowledge management The Catholic University of Korea,본교,대학원,특수대학원,사립,41,경기도,서울특별시 서초구 반포대로 222(반포동),,06591,,,02-2258-7730,02-2258-7800,2022-09-01,2022,2022-12-21
"가톨릭대학교 대학원",Graduate School The Catholic University Of Korea,본교,대학원,일반대학원,사립,41,경기도,경기도 부천시 원미구 지봉로 43,,14662,,www.catholic.ac.kr,02-2164-4114,02-2164-4759,1995-03-01,2022,2022-12-21
"가톨릭대학교 문화영성대학원",The graduate school of culture&Spirituality The Catholic University Of Korea,본교,대학원,특수대학원,사립,41,경기도,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7800,02-2258-7731,2003-03-01,2022,2022-12-21
"가톨릭대학교 보건대학원","Graduate School Of Public Health, The Catholic University Of Korea",제2캠퍼스,대학원,특수대학원,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7114,02-2258-7742,1991-03-01,2022,2022-12-21
"가톨릭대학교 보건의료경영대학원","Graduate School of Public Health and Healthcare Management, The Catholic University of Korea",제2캠퍼스,대학원,특수대학원,사립,11,서울특별시,서울특별시 서초구 반포대로 222(반포동),,06591,,,02-2258-7114,02-2258-7742,2022-03-01,2022,2022-12-21
"가톨릭대학교 사회복지대학원",Graduate school of socialwelfare The Catholic University Of Korea,본교,대학원,특수대학원,사립,41,경기도,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7731,02-2258-7800,1995-10-01,2022,2022-12-21
"가톨릭대학교 상담심리대학원",Graduate School Of Counseling The Catholic University Of Korea,본교,대학원,특수대학원,사립,41,경기도,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7731,02-2258-7800,1996-11-02,2022,2022-12-21
"가톨릭대학교 생명대학원","Nicholas Cardinal Cheong Graduate School For Life, The Catholic University Of Korea",제2캠퍼스,대학원,특수대학원,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7076,02-2258-7742,2008-03-01,2022,2022-12-21
"가톨릭대학교 의료경영대학원","Graduate School Of Healthcare Management And Policy, The Catholic University Of Korea",제2캠퍼스,대학원,특수대학원,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7114,02-2258-7742,1997-10-25,2022,2022-12-21
"가톨릭대학교 의학전문대학원","The Catholic University Of Korea, School Of Medicine",제2캠퍼스,대학원,전문대학원,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,medicine.catholic.ac.kr,02-2258-7077,02-2258-7742,2009-03-01,2022,2022-12-21
"가톨릭대학교 일반대학원",Graduate School The Catholic University Of Korea,제2캠퍼스,대학원,일반대학원,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr/,02-2258-7114,02-2258-7742,1995-03-01,2022,2022-12-21
"가톨릭대학교 일반대학원",Graduate School The Catholic University Of Korea,제3캠퍼스,대학원,일반대학원,사립,11,서울특별시,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",,03083,,www.catholic.ac.kr,02-740-9705,02-741-2801,1995-03-01,2022,2022-12-21
"가톨릭대학교 임상간호대학원","Graduate School Of Clinical Nursing Science, The Catholic University Of Korea",제2캠퍼스,대학원,특수대학원,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7114,02-2258-7742,2002-03-01,2022,2022-12-21
"가톨릭대학교 임상치과학대학원","Graduate School Of Clinical Dental Science, The Catholic University Of Korea",제2캠퍼스,대학원,특수대학원,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7114,02-2258-7742,2000-07-18,2022,2022-12-21
"가톨릭대학교 행정대학원",Graduate school of public administration The Catholic University Of Korea,본교,대학원,특수대학원,사립,41,경기도,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2164-4857,02-2164-4859,2000-07-18,2022,2022-12-21
"감리교신학대학교 대학원",The Graduate School Of M.T.U.,본교,대학원,일반대학원,사립,11,서울특별시,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",,03745,,www.mtu.ac.kr,02-361-9241,02-361-9298,1971-01-23,2022,2022-12-21
"감리교신학대학교 목회신학대학원",Graduate School Of Pastoral Theology Of M.T.U.,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",,03745,,www.mtu.ac.kr,02-361-9240,02-361-9299,1997-10-25,2022,2022-12-21
"감리교신학대학교 신학대학원",Graduate School Of Theology Of M.T.U.,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",,03745,,www.mtu.ac.kr,02-361-9241,02-361-9299,1980-11-24,2022,2022-12-21
"강남대학교 경영대학원",Kangnam University Graduate School of Business Administration,본교,대학원,특수대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,www.kangnam.ac.kr,031-280-3500,031-280-3479,2012-10-09,2022,2022-12-21
"강남대학교 교육대학원",Kangnam Graduate School Of Education,본교,대학원,특수대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,grd.kangnam.ac.kr,031-280-3500,031-280-3479,1999-11-19,2022,2022-12-21
"강남대학교 국제대학원",Kangnam Graduate School Of International Studies,본교,대학원,특수대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,grd.kangnam.ac.kr,031-280-3500,031-280-3479,2017-03-02,2022,2022-12-21
"강남대학교 대학원",Kangnam Graduate School,본교,대학원,일반대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,grd.kangnam.ac.kr,031-280-3500,031-280-3479,1994-12-22,2022,2022-12-21
"강남대학교 부동산·법무·행정대학원",Kangnam Graduate School,본교,대학원,특수대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,grd.kangnam.ac.kr,031-280-3500,031-280-3479,2015-03-02,2022,2022-12-21
"강남대학교 사회복지전문대학원",Kangnam Graduate School Of Social Welfare,본교,대학원,전문대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,grd.kangnam.ac.kr,031-280-3500,031-281-3604,2001-07-26,2022,2022-12-21
"강남대학교 실천신학대학원",Kangnam Graduate School Of Practical Theology,본교,대학원,특수대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,grd.kangnam.ac.kr,031-280-3500,031-281-3604,1993-11-09,2022,2022-12-21
"강남대학교 융복합대학원",Graduate School Of Convergence,본교,대학원,특수대학원,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,grd.kangnam.ac.kr,031-280-3500,031-280-3479,2018-03-01,2022,2022-12-21
"강릉원주대학교 경영정책과학대학원",Gangneung Wonju Graduate School Of Management & Policy Science,본교,대학원,특수대학원,국립,42,강원도,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",,25457,,www.gwnu.ac.kr,033-640-2163,033-640-2166,1979-01-18,2022,2022-12-21
"강릉원주대학교 경영정책과학대학원",Gangneung Wonju Graduate School Of Management & Policy Science,제2캠퍼스,대학원,특수대학원,국립,42,강원도,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",,26403,,www.gwnu.ac.kr,033-640-2081,033-640-2166,2009-03-01,2022,2022-12-21
"강릉원주대학교 교육대학원",Gangneung Wonju Graduate School Of Education,본교,대학원,특수대학원,국립,42,강원도,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",,25457,,www.gwnu.ac.kr,033-640-2087,033-640-2098,1995-03-01,2022,2022-12-21
"강릉원주대학교 교육대학원",Gangneung Wonju Graduate School Of Education,제2캠퍼스,대학원,특수대학원,국립,42,강원도,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",,26403,,www.gwnu.ac.kr,033-640-2087,033-640-2098,1995-03-01,2022,2022-12-21
"강릉원주대학교 대학원",Gangneung Wonju Graduate School,본교,대학원,일반대학원,국립,42,강원도,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",,25457,,www.gwnu.ac.kr,033-640-2077,033-640-2083,1979-01-18,2022,2022-12-21
"강릉원주대학교 대학원",Gangneung Wonju Graduate School,제2캠퍼스,대학원,일반대학원,국립,42,강원도,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",,26403,,www.gwnu.ac.kr,033-640-2077,033-640-2083,1979-01-18,2022,2022-12-21
"강릉원주대학교 산업대학원",Gangneung Wonju Graduate School Of Industrial Technology,본교,대학원,특수대학원,국립,42,강원도,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",,25457,,www.gwnu.ac.kr,033-640-2085,033-640-2083,1996-03-01,2022,2022-12-21
"강릉원주대학교 산업대학원",Gangneung Wonju Graduate School Of Industrial Technology,제2캠퍼스,대학원,특수대학원,국립,42,강원도,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",,26403,,www.gwnu.ac.kr,033-640-2085,033-640-2083,1979-01-18,2022,2022-12-21
"강서대학교 교육대학원","The Graduate School Of Education, GANGSEO UNIVERSITY",본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",,07661,,graduate.gangseo.ac.kr,02-2600-2441,02-2600-2449,2002-10-30,2022,2022-12-21
"강서대학교 사회복지대학원","The Graduate School Of Social Welfare, GANGSEO UNIVERSITY",본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",,07661,,graduate.gangseo.ac.kr/,02-2600-2441,02-2600-2449,2002-10-30,2022,2022-12-21
"강서대학교 신학대학원","The Graduate School Of Theology, GANGSEO UNIVERSITY",본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",,07661,,graduate.gangseo.ac.kr/,02-2600-2441,02-2600-2449,1994-10-21,2022,2022-12-21
"강서대학교 일반대학원",The Graduate School Of GANGSEO UNIVERSITY,본교,대학원,일반대학원,사립,11,서울특별시,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",,07661,,graduate.gangseo.ac.kr/,02-2600-2441,02-2600-2449,2002-10-30,2022,2022-12-21
"강원대학교 경영대학원",Kangwon National University Graduate School Of Business Administration,본교,대학원,특수대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,gsba.kangwon.ac.kr/,033-250-6100,033-259-5530,1979-12-05,2022,2022-12-21
"강원대학교 교육대학원",Kangwon National University Graduate School Of Education,본교,대학원,특수대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,edugradu.kangwon.ac.kr/,033-250-6607,033-259-5590,1978-12-30,2022,2022-12-21
"강원대학교 녹색생명산업정책대학원",Graduate School Of Green And Life Industry Policy,본교,대학원,특수대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,glip.kangwon.ac.kr,033-250-6402,033-259-5556,2012-03-01,2022,2022-12-21
"강원대학교 방재전문대학원",Kangwon National University Graduate School Of  Disaster Prevention,제2캠퍼스,대학원,전문대학원,국립,42,강원도,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",,25913,,http://prevention.kangwon.ac.kr/,033-570-6468,033-570-6501,2006-03-01,2022,2022-12-21
"강원대학교 법무전문대학원",Graduate School Of Law,본교,대학원,전문대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,www.kangwonlaw.ac.kr/,033-250-6510,033-259-5683,2009-03-02,2022,2022-12-21
"강원대학교 법학전문대학원",Kangwon National University School Of Law,본교,대학원,전문대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,law.kangwon.ac.kr/,033-250-6510,033-259-5683,2009-03-02,2022,2022-12-21
"강원대학교 산업과학대학원",Kangwon National University The Graduate School Of Industry & Science,제2캠퍼스,대학원,특수대학원,국립,42,강원도,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",,25913,,college.kangwon.ac.kr/industry/main.jsp,033-570-6502,033-570-6501,2006-03-01,2022,2022-12-21
"강원대학교 산업대학원",Kangwon National University Graduate School Of Lndustry,본교,대학원,특수대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,gsi.kangwon.ac.kr/,033-250-6209,033-259-5540,1991-03-01,2022,2022-12-21
"강원대학교 의학전문대학원",Kangwon National University School Of Medicine,본교,대학원,전문대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,smed.kangwon.ac.kr/,033-250-7941,033-259-5635,2008-03-01,2022,2022-12-21
"강원대학교 일반대학원",Kangwon National University Graduate School,본교,대학원,일반대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,graduate.kangwon.ac.kr/,033-250-8993,033-259-5527,1968-01-10,2022,2022-12-21
"강원대학교 정보과학행정대학원",Kangwon National University Graduate School Of Information Science & Public Administration,본교,대학원,특수대학원,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,information.kangwon.ac.kr,033-250-6809,033-259-5605,1996-03-01,2022,2022-12-21
"건국대학교 건축전문대학원",Konkuk Graduate School Of Architecture,본교,대학원,전문대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,gsa.konkuk.ac.kr/main.do,02-450-3287,02-450-4061,1996-01-19,2022,2022-12-21
"건국대학교 경영대학원",Konkuk Graduate School Of Business Administration,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,business.konkuk.ac.kr,02-450-3302,02-452-3109,1983-10-29,2022,2022-12-21
"건국대학교 경영전문대학원",Graduate School Of Business,본교,대학원,전문대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,mba.konkuk.ac.kr,02-450-0505,02-452-3109,2010-03-01,2022,2022-12-21
"건국대학교 교육대학원",Konkuk Graduate School Of Education,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,sedu.konkuk.ac.kr,02-450-3282,02-447-6236,1979-03-10,2022,2022-12-21
"건국대학교 농축대학원",Konkuk Graduate School Of Agriculture And Animal Science,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,nongchuk.konkuk.ac.kr,02-450-3312,02-447-7030,1984-11-27,2022,2022-12-21
"건국대학교 디자인대학원",Konkuk Graduate School Of Design,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,designgs.konkuk.ac.kr,02-450-3307,02-450-3304,1997-10-25,2022,2022-12-21
"건국대학교 법학전문대학원",Konkuk Law School,본교,대학원,전문대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,lawschool.konkuk.ac.kr,02-450-3620,02-450-3591,2009-02-11,2022,2022-12-21
"건국대학교 부동산대학원",Konkuk Graduate School Of Realestate Studies,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,gsres.konkuk.ac.kr,02-450-3317,02-3437-0050,2000-07-28,2022,2022-12-21
"건국대학교 산업대학원",Konkuk Graduate School Of Engineering,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,gse.konkuk.ac.kr,02-450-3292,02-457-0269,1979-12-05,2022,2022-12-21
"건국대학교 수의방역대학원",Konkuk Graduate School of Veterinary Biosecurity and Protection,본교,대학원,특수대학원,사립,11,서울특별시,서울특별시 광진구 능동로 120 (화양동),,05029,,cvbp.konkuk.ac.kr,02-450-3108,02-450-3108,2020-03-13,2022,2022-12-21
"건국대학교 언론홍보대학원",Graduate School Of Mass Communication & Public Relations,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,mass.konkuk.ac.kr,02-450-3276,02-456-7238,1995-10-18,2022,2022-12-21
"건국대학교 예술디자인대학원",Konkuk Graduate School Of Art And Design,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,designgs.konkuk.ac.kr,02-450-3306,02-450-3304,1997-10-25,2022,2022-12-21
"건국대학교 일반대학원",Konkuk Graduate School,본교,대학원,일반대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,grad.konkuk.ac.kr,02-450-3264,02-452-6490,1959-02-26,2022,2022-12-21
"건국대학교 정보통신대학원",Konkuk Graduate School Of Information & Telecommunications,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,gsit.konkuk.ac.kr,02-450-3562,02-3437-0051,1997-10-25,2022,2022-12-21
"건국대학교 행정대학원",Konkuk Graduate School Of Public Administration,본교,대학원,특수대학원,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,pagrad.konkuk.ac.kr,02-450-3271,02-447-8001,1967-01-05,2022,2022-12-21
"건국대학교(글로컬) 교육대학원",Konkuk Graduate School Of Education,분교,대학원,특수대학원,사립,43,충청북도,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스)",,27478,,http://gsedu.kku.ac.kr/main.do,043-840-3232,043-851-9324,1998-03-01,2022,2022-12-21
"건국대학교(글로컬) 사회과학대학원",Konkuk Graduate School Of Social Science,분교,대학원,특수대학원,사립,43,충청북도,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스)",,27478,,sh.kku.ac.kr,043-840-3232,043-851-9356,1987-11-09,2022,2022-12-21
"건국대학교(글로컬) 의학전문대학원",School Of Medicine,분교,대학원,전문대학원,사립,43,충청북도,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스)",,27478,,medicine.kku.ac.kr,02-2049-6186,02-2049-6195,2002-02-23,2022,2022-12-21
"건국대학교(글로컬) 일반대학원",Konkuk Graduate School,분교,대학원,일반대학원,사립,43,충청북도,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스)",,27478,,grad.kku.ac.kr,043-840-3232,043-851-9324,1959-02-26,2022,2022-12-21
"건국대학교(글로컬) 창의융합대학원",Konkuk Graduate School Of Interdisciplinary And Creative Study,분교,대학원,특수대학원,사립,43,충청북도,"충청북도 충주시 충원대로 268 (단월동, 건국대학교GLOCAL캠퍼스)",,27478,,http://gsic.kku.ac.kr/main.do,043-840-3232,043-851-9324,2016-03-01,2022,2022-12-21
"건양대학교 경영사회복지대학원","Graduate School Of Business & Social Welfare, Konyang University",본교,대학원,특수대학원,사립,44,충청남도,"충청남도 논산시 대학로 121 (내동, 건양대학교)",,32992,,kygrad.konyang.ac.kr/,041-730-5251,041-730-5255,1990-11-28,2022,2022-12-21
"건양대학교 경영사회복지대학원",Konyang University Graduate School Of Business & Social Welfare,제2캠퍼스,대학원,특수대학원,사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,kygrad.konyang.ac.kr/,042-600-1651,042-600-1641,1990-11-28,2022,2022-12-21
"건양대학교 교육대학원",Konyang University Graduate School Of Education,제2캠퍼스,대학원,특수대학원,사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,kygrad.konyang.ac.kr/,042-600-1651,042-600-1641,1990-11-28,2022,2022-12-21
"건양대학교 국방관리대학원","Graduate School Of Defense Management, Konyang University",본교,대학원,특수대학원,사립,44,충청남도,"충청남도 논산시 대학로 121 (내동, 건양대학교)",,32992,,kygrad.konyang.ac.kr,041-730-5251,041-730-5255,1990-11-28,2022,2022-12-21
"건양대학교 군사경찰행정대학원",Konyang University Graduate School Of National Defense Management,제2캠퍼스,대학원,특수대학원,사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,kygrad.konyang.ac.kr/,042-600-1651,042-600-1641,1990-11-28,2022,2022-12-21
"건양대학교 바이오비임상대학원",Konyang University Graduate School Of Pre-Clinical Laboratory Science,제2캠퍼스,대학원,특수대학원,사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,kygrad.konyang.ac.kr/,042-600-1651,042-600-1641,2012-09-26,2022,2022-12-21
"건양대학교 바이오융합대학원",Konyang University Graduate School Of Integrative Bioscience & Biomedicine,제2캠퍼스,대학원,특수대학원,사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,kygrad.konyang.ac.kr,042-600-1651,042-600-1641,2019-03-01,2022,2022-12-21
